ISIN코드,기업명,배당기준일,1주당배당금,종가,매수주식수,총배당금,투자금대비배당률(%)
KR7098660004,에스티오,2023-12-31,110.0,2210.0,4524,497640.0,4.9764
KR7300720000,한일시멘트,2022-12-31,580.0,11650.0,858,497640.0,4.9764
KR7016090003,대현,2023-12-31,100.0,2010.0,4975,497500.0,4.9750000000000005
KR7128660008,피제이메탈,2024-12-31,150.0,3015.0,3316,497400.0,4.974
KR7317400000,자이에스앤디,2022-12-31,300.0,6030.0,1658,497400.0,4.974
KR7010960003,삼호개발,2022-12-31,190.0,3820.0,2617,497230.0,4.972300000000001
KR7009680000,모토닉,2022-12-31,400.0,8040.0,1243,497200.0,4.972
KR7058860008,케이티아이에스,2022-12-31,120.0,2415.0,4140,496800.0,4.968
KR7013520002,화승코퍼레이션,2024-12-31,75.0,1511.0,6618,496350.0,4.9635
KR7035000009,에이치에스애드,2021-12-31,350.0,7050.0,1418,496300.0,4.963
KR7000810002,삼성화재해상보험,2024-03-27,16000.0,315000.0,31,496000.0,4.96
KR7100250000,진양홀딩스,2022-12-31,150.0,3025.0,3305,495750.0,4.9575000000000005
KR7230360000,에코마케팅,2024-12-31,500.0,10090.0,991,495500.0,4.955
KR7199730003,바이오인프라,2023-12-31,600.0,12110.0,825,495000.0,4.95
KR7085910008,네오티스,2021-12-31,250.0,5050.0,1980,495000.0,4.95
KR7010960003,삼호개발,2025-03-31,150.0,3030.0,3300,495000.0,4.95
KR7005810007,풍산홀딩스,2021-12-31,1400.0,28300.0,353,494200.0,4.942
KR7009970005,영원무역홀딩스,2022-12-31,3050.0,61400.0,162,494100.0,4.941
KR7030210009,다올투자증권,2025-03-17,150.0,3035.0,3294,494100.0,4.941
KR7000810002,삼성화재해상보험,2025-03-26,19000.0,372500.0,26,494000.0,4.9399999999999995
KR7267290005,경동도시가스,2024-12-31,875.0,17700.0,564,493500.0,4.935
