ISIN코드,기업명,배당기준일,기준종가일,종가,1주당배당금,공시배당률,투자금액,시가배당률(%),매수주식수,총배당금,투자금대비배당률(%)
KR7001060003,제이더블유중외제약,2020-12-31,2020-12-30,35050.0,325.0,13.0,10000000.0,0.9272467902995721,285,92625.0,0.92625
KR7001060003,제이더블유중외제약,2021-12-31,2021-12-30,22800.0,325.0,13.0,10000000.0,1.425438596491228,438,142350.0,1.4235
KR7001060003,제이더블유중외제약,2022-12-31,2022-12-29,18900.0,375.0,15.0,10000000.0,1.984126984126984,529,198375.0,1.9837500000000001
KR7001060003,제이더블유중외제약,2023-12-31,2023-12-28,35550.0,400.0,16.0,10000000.0,1.1251758087201125,281,112400.0,1.124
KR7001060003,제이더블유중외제약,2024-12-31,2024-12-30,24000.0,450.0,18.0,10000000.0,1.875,416,187200.0,1.872
KR7001540004,안국약품,2020-12-31,2020-12-30,13000.0,220.0,44.0,10000000.0,1.6923076923076923,769,169180.0,1.6918
KR7001540004,안국약품,2021-12-31,2021-12-30,10700.0,220.0,44.0,10000000.0,2.0560747663551404,934,205480.0,2.0548
KR7001540004,안국약품,2022-12-31,2022-12-29,9190.0,220.0,44.0,10000000.0,2.3939064200217626,1088,239360.0,2.3935999999999997
KR7001540004,안국약품,2023-12-31,2023-12-28,9410.0,220.0,44.0,10000000.0,2.3379383634431457,1062,233640.0,2.3364
KR7001540004,안국약품,2024-12-31,2024-12-30,6530.0,440.0,88.0,10000000.0,6.738131699846861,1531,673640.0,6.7364
KR7001080001,만호제강,2020-06-30,2020-06-29,13500.0,200.0,20.0,10000000.0,1.4814814814814816,740,148000.0,1.48
KR7001080001,만호제강,2021-06-30,2021-06-29,22850.0,200.0,20.0,10000000.0,0.87527352297593,437,87400.0,0.874
KR7001080001,만호제강,2022-06-30,2022-06-29,21450.0,250.0,25.0,10000000.0,1.1655011655011656,466,116500.0,1.165
KR7001120005,LX인터내셔널,2020-12-31,2020-12-30,24700.0,400.0,8.0,10000000.0,1.6194331983805668,404,161600.0,1.616
KR7001120005,LX인터내셔널,2021-12-31,2021-12-30,26450.0,2300.0,46.0,10000000.0,8.695652173913043,378,869400.0,8.694
KR7001120005,LX인터내셔널,2022-12-31,2022-12-29,33950.0,3000.0,60.0,10000000.0,8.836524300441827,294,882000.0,8.82
KR7001120005,LX인터내셔널,2023-12-31,2023-12-28,29400.0,1200.0,24.0,10000000.0,4.081632653061225,340,408000.0,4.08
KR7001120005,LX인터내셔널,2025-02-28,2025-02-27,26500.0,2000.0,40.0,10000000.0,7.547169811320755,377,754000.0,7.539999999999999
KR7001130004,대한제분,2020-12-31,2020-12-30,166000.0,2000.0,40.0,10000000.0,1.2048192771084338,60,120000.0,1.2
KR7001130004,대한제분,2021-12-31,2021-12-30,154500.0,2500.0,50.0,10000000.0,1.6181229773462782,64,160000.0,1.6
KR7001130004,대한제분,2022-12-31,2022-12-29,132500.0,2500.0,50.0,10000000.0,1.8867924528301887,75,187500.0,1.875
KR7001130004,대한제분,2023-12-31,2023-12-28,127800.0,2500.0,50.0,10000000.0,1.9561815336463224,78,195000.0,1.95
KR7001130004,대한제분,2024-12-31,2024-12-30,126400.0,3500.0,70.0,10000000.0,2.7689873417721516,79,276500.0,2.765
KR7001200005,유진투자증권,2020-12-31,2020-12-30,3950.0,120.0,2.4,10000000.0,3.0379746835443036,2531,303720.0,3.0372
KR7001200005,유진투자증권,2021-12-31,2021-12-30,3595.0,140.0,2.8,10000000.0,3.8942976356050067,2781,389340.0,3.8934
KR7001200005,유진투자증권,2022-12-31,2022-12-29,2340.0,60.0,1.2,10000000.0,2.564102564102564,4273,256380.0,2.5638
KR7001200005,유진투자증권,2024-03-29,2024-03-28,4235.0,60.0,1.2,10000000.0,1.4167650531286895,2361,141660.0,1.4166
KR7001200005,유진투자증권,2025-03-31,2025-03-28,2445.0,100.0,2.0,10000000.0,4.08997955010225,4089,408900.0,4.089
KR7001740000,SK네트웍스,2020-12-31,2020-12-30,4855.0,120.0,4.8,10000000.0,2.47167868177137,2059,247080.0,2.4708
KR7001740000,SK네트웍스,2021-12-31,2021-12-30,5020.0,120.0,4.8,10000000.0,2.3904382470119523,1992,239040.0,2.3904
KR7001740000,SK네트웍스,2022-12-31,2022-12-29,3870.0,120.0,4.8,10000000.0,3.10077519379845,2583,309960.0,3.0996
KR7001740000,SK네트웍스,2024-04-01,2024-03-29,5900.0,200.0,8.0,10000000.0,3.389830508474576,1694,338800.0,3.388
KR7001740000,SK네트웍스,2024-09-30,2024-09-27,4965.0,100.0,4.0,10000000.0,2.014098690835851,2014,201400.0,2.0140000000000002
KR7001740000,SK네트웍스,2025-04-01,2025-03-31,4065.0,200.0,8.0,10000000.0,4.920049200492005,2460,492000.0,4.92
KR7001740000,SK네트웍스,2025-08-28,2025-08-27,4390.0,50.0,2.0,10000000.0,1.1389521640091116,2277,113850.0,1.1384999999999998
KR7001750009,한양증권,2020-12-31,2020-12-30,9220.0,750.0,15.0,10000000.0,8.134490238611713,1084,813000.0,8.129999999999999
KR7001750009,한양증권,2021-12-31,2021-12-30,15700.0,900.0,18.0,10000000.0,5.7324840764331215,636,572400.0,5.724
KR7001750009,한양증권,2022-12-31,2022-12-29,8210.0,800.0,16.0,10000000.0,9.744214372716199,1218,974400.0,9.744
